12:05:01.417 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
12:05:01.424 [TestNG-tests-1] INFO  utils.Log - +++ Started test case: loginTest
12:05:01.425 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
12:05:01.426 [TestNG-tests-1] INFO  utils.Log - Start time: 2022.11.23.12.05.01
12:05:01.426 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
12:05:02.865 [TestNG-tests-1] INFO  utils.Log - Called <waitForElementToBeVisible> on element <input type="text" class="woocommerce-Input woocommerce-Input--text input-text" name="username" id="username" autocomplete="username" value="">
12:05:02.930 [TestNG-tests-1] INFO  utils.Log - called <clear> on element <input type="text" class="woocommerce-Input woocommerce-Input--text input-text" name="username" id="username" autocomplete="username" value="">
12:05:02.996 [TestNG-tests-1] INFO  utils.Log - Called <sendKeys> on element <input type="text" class="woocommerce-Input woocommerce-Input--text input-text" name="username" id="username" autocomplete="username" value="">
12:05:03.110 [TestNG-tests-1] INFO  utils.Log - Called <waitForElementToBeVisible> on element <input class="woocommerce-Input woocommerce-Input--text input-text" type="password" name="password" id="password" autocomplete="current-password">
12:05:03.158 [TestNG-tests-1] INFO  utils.Log - called <clear> on element <input class="woocommerce-Input woocommerce-Input--text input-text" type="password" name="password" id="password" autocomplete="current-password">
12:05:03.228 [TestNG-tests-1] INFO  utils.Log - Called <sendKeys> on element <input class="woocommerce-Input woocommerce-Input--text input-text" type="password" name="password" id="password" autocomplete="current-password">
12:05:03.330 [TestNG-tests-1] INFO  utils.Log - Called method <click()> on element <button type="submit" class="woocommerce-button button woocommerce-form-login__submit" name="login" value="Log in">Log in</button>
12:05:03.351 [TestNG-tests-1] INFO  utils.Log - Called <waitForElementToBeClickable><button type="submit" class="woocommerce-button button woocommerce-form-login__submit" name="login" value="Log in">Log in</button>
12:05:04.426 [TestNG-tests-1] INFO  utils.Log - Called method <click()> on element <input id="dgwt-wcas-search-input-1" type="search" class="dgwt-wcas-search-input" name="s" value="" placeholder="Search for products..." autocomplete="off">
12:05:04.449 [TestNG-tests-1] INFO  utils.Log - Called <waitForElementToBeClickable><input id="dgwt-wcas-search-input-1" type="search" class="dgwt-wcas-search-input" name="s" value="" placeholder="Search for products..." autocomplete="off">
12:05:04.569 [TestNG-tests-1] INFO  utils.Log - Called <waitForElementToBeVisible> on element <input id="dgwt-wcas-search-input-1" type="search" class="dgwt-wcas-search-input" name="s" value="" placeholder="Search for products..." autocomplete="off">
12:05:04.609 [TestNG-tests-1] INFO  utils.Log - called <clear> on element <input id="dgwt-wcas-search-input-1" type="search" class="dgwt-wcas-search-input" name="s" value="" placeholder="Search for products..." autocomplete="off">
12:05:04.663 [TestNG-tests-1] INFO  utils.Log - Called <sendKeys> on element <input id="dgwt-wcas-search-input-1" type="search" class="dgwt-wcas-search-input" name="s" value="" placeholder="Search for products..." autocomplete="off">
12:05:10.447 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
12:05:10.447 [TestNG-tests-1] INFO  utils.Log - +++ Pass test case: loginTest
12:05:10.448 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
12:05:10.448 [TestNG-tests-1] INFO  utils.Log - End time: 2022.11.23.12.05.10
12:05:10.448 [TestNG-tests-1] INFO  utils.Log - ++++++++++++++++++++++++++++++++++++
